n,win,expR,pf,ddR,t,totR,rr,swing_lb,fvg_window,zones,trend_filter,min_gap_atr,max_risk_atr,atr_rank_min,atr_rank_max
404,64.60396039603961,0.26457019960049394,1.7038465971623002,8.609236386798386,5.407882594847141,106.88636063859954,1.0,2.0,6.0,ny_am,,,,,
416,64.42307692307693,0.26100996179739333,1.6910527525188954,8.59612672715997,5.408432137882889,108.58014410771563,1.0,2.0,20.0,ny_am,,,,,
416,64.42307692307693,0.26100996179739333,1.6910527525188954,8.59612672715997,5.408432137882889,108.58014410771563,1.0,2.0,30.0,ny_am,,,,,
416,64.42307692307693,0.26100996179739333,1.6910527525188954,8.59612672715997,5.408432137882889,108.58014410771563,1.0,2.0,12.0,ny_am,,,,,
387,50.3875968992248,0.22469886703482356,1.4267219973418006,9.75816033995136,3.458740218084463,86.95846154247671,1.5,2.0,6.0,ny_am,,,,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,2.0,20.0,ny_am,,,,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,2.0,30.0,ny_am,,,,,
399,50.125313283208015,0.2180972390696911,1.412033581895627,9.75816033995136,3.4087544019708487,87.02079838880675,1.5,2.0,12.0,ny_am,,,,,
372,61.29032258064516,0.19873572829409603,1.485554487475953,9.054162894189425,3.8334930676867476,73.92969092540372,1.0,4.0,12.0,ny_am,,,,,
343,61.224489795918366,0.19658839216112675,1.4786122036557978,10.048108159386956,3.636349215108841,67.42981851126648,1.0,4.0,6.0,ny_am,,,,,
377,61.0079575596817,0.19282754659129747,1.4676253769851064,9.054162894189425,3.739344200387169,72.69598506491914,1.0,4.0,20.0,ny_am,,,,,
377,61.0079575596817,0.19282754659129747,1.4676253769851064,9.054162894189425,3.739344200387169,72.69598506491914,1.0,4.0,30.0,ny_am,,,,,
402,59.950248756218905,0.16935148506843337,1.3983994828500566,8.35678543835698,3.3701351781194813,68.07929699751021,1.0,3.0,12.0,ny_am,,,,,
404,59.900990099009896,0.16840990099348838,1.395752355103675,8.35678543835698,3.3592742089231233,68.0376000013693,1.0,3.0,30.0,ny_am,,,,,
404,59.900990099009896,0.16840990099348838,1.395752355103675,8.35678543835698,3.3592742089231233,68.0376000013693,1.0,3.0,20.0,ny_am,,,,,
375,59.73333333333334,0.1653033311840931,1.3871270453367257,8.356785438356987,3.175611693759761,61.98874919403491,1.0,3.0,6.0,ny_am,,,,,
357,58.26330532212886,0.13695781792954606,1.3107787911237345,9.559524242222023,2.558975248983096,48.893941000847946,1.0,5.0,12.0,ny_am,,,,,
363,46.83195592286501,0.1349374137852146,1.2394818355215973,10.31490773916184,2.0164044223078297,48.9822812040329,1.5,3.0,6.0,ny_am,,,,,
330,57.878787878787875,0.12950807480885834,1.2915437384375807,9.491869440220174,2.3249527714886615,42.73766468692325,1.0,5.0,6.0,ny_am,,,,,
364,57.417582417582416,0.11979949498980011,1.2665631708074019,10.600061652459678,2.2547364096261293,43.60701617628724,1.0,5.0,20.0,ny_am,,,,,
366,57.377049180327866,0.11866616460932926,1.2636030123338864,9.60284778864598,2.238387807576008,43.43181624701451,1.0,5.0,30.0,ny_am,,,,,
332,46.08433734939759,0.11628434864530625,1.203563226064883,14.1936153948896,1.6630531028776478,38.606403750241675,1.5,4.0,6.0,ny_am,,,,,
389,46.01542416452442,0.11372826566663362,1.1986696594784956,9.882959530387076,1.7610883463729134,44.24029534432048,1.5,3.0,12.0,ny_am,,,,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,2.0,20.0,ny_am,,,,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,2.0,30.0,ny_am,,,,,
378,33.06878306878307,0.1121588143522614,1.15762921280973,19.796648122173465,1.3022726343314865,42.39603182515481,2.5,2.0,12.0,ny_am,,,,,
366,33.060109289617486,0.11177764496104932,1.1570737075466346,19.796648122173465,1.2771901387259676,40.91061805574405,2.5,2.0,6.0,ny_am,,,,,
390,45.8974358974359,0.11077603292450522,1.1931100818552298,9.882959530387076,1.7179847242793034,43.202652840557036,1.5,3.0,20.0,ny_am,,,,,
