ts,side,outcome,R
2022-01-05 10:55:00-05:00,long,stop,-1.0764525993850336
2022-01-06 10:20:00-05:00,long,target,1.98538011695992
2022-01-07 09:45:00-05:00,long,stop,-1.0267134788577816
2022-01-11 11:00:00-05:00,long,target,1.9952088922959907
2022-01-12 09:45:00-05:00,short,stop,-1.0290601129188126
2022-01-13 10:05:00-05:00,short,target,1.9955806964823126
2022-01-14 09:40:00-05:00,long,stop,-1.02362629944615
2022-01-17 10:15:00-05:00,long,stop,-1.0683060109262923
2022-01-18 10:35:00-05:00,short,target,1.9948517298188868
2022-01-19 10:35:00-05:00,short,timeout,
2022-01-21 10:30:00-05:00,long,target,1.992605737947572
2022-01-25 09:30:00-05:00,short,timeout,
2022-01-26 10:15:00-05:00,short,stop,-1.0277039007087811
2022-01-27 11:00:00-05:00,long,stop,-1.0159409728546551
2022-01-28 10:15:00-05:00,long,target,1.996626636081546
2022-02-01 09:45:00-05:00,short,stop,-1.0238224884287528
2022-02-02 09:45:00-05:00,short,stop,-1.0265071190544308
2022-02-03 10:50:00-05:00,short,target,1.994343635458746
2022-02-04 09:45:00-05:00,long,stop,-1.0201357726381297
2022-02-07 09:40:00-05:00,long,stop,-1.028311654694423
2022-02-08 10:20:00-05:00,long,target,1.9956702459301061
2022-02-09 09:50:00-05:00,short,stop,-1.0407166123769012
2022-02-10 09:40:00-05:00,long,target,1.9930284439488837
2022-02-18 09:50:00-05:00,long,stop,-1.0374973216190804
2022-02-22 10:40:00-05:00,short,target,1.9968834924830228
2022-02-23 09:55:00-05:00,short,target,1.9976196823704382
2022-02-24 09:50:00-05:00,long,target,1.9983222827691842
2022-02-25 10:10:00-05:00,long,target,1.9946695095949964
2022-02-28 10:25:00-05:00,long,target,1.9909150374303761
2022-03-01 10:45:00-05:00,short,target,1.9973069050953647
2022-03-02 10:10:00-05:00,short,stop,-1.0140033608064816
2022-03-03 09:50:00-05:00,short,target,1.9957337883959774
2022-03-04 10:00:00-05:00,long,stop,-1.0282668389593237
2022-03-08 10:20:00-05:00,long,stop,-1.0240615976897558
