signal_ts,side,entry,stop,target,status,exit_ts,net,reason
2026-05-14T09:55:00-04:00,short,29624.75,29624.75,29624.75,loss,2026-05-14T09:55:00-04:00,-10.0,sweep high + short FVG
2026-05-18T09:30:00-04:00,long,29276.25,29276.25,29276.25,loss,2026-05-18T09:30:00-04:00,-10.0,sweep low + long FVG
2026-05-20T09:55:00-04:00,short,29107.5,29165.75,28991.0,loss,2026-05-20T10:15:00-04:00,-1205.0,sweep high + short FVG
2026-05-22T10:05:00-04:00,short,29570.25,29667.75,29375.25,loss,2026-05-22T11:00:00-04:00,-1990.0,sweep high + short FVG
2026-05-27T10:40:00-04:00,long,29972.5,29930.5,30056.5,loss,2026-05-27T10:55:00-04:00,-880.0,sweep low + long FVG
2026-05-29T10:15:00-04:00,short,30462.75,30519.75,30348.75,win,2026-05-29T10:25:00-04:00,2270.0,sweep high + short FVG
2026-06-02T09:45:00-04:00,long,30497.0,30497.0,30497.0,loss,2026-06-02T09:45:00-04:00,-10.0,sweep low + long FVG
2026-06-03T10:15:00-04:00,long,30669.0,30543.75,30919.5,loss,2026-06-03T12:25:00-04:00,-2545.0,sweep low + long FVG
2026-06-04T10:15:00-04:00,long,30263.0,30181.5,30426.0,win,2026-06-04T11:05:00-04:00,3250.0,sweep low + long FVG
2026-06-05T10:15:00-04:00,long,29866.75,29761.75,30076.75,loss,2026-06-05T11:10:00-04:00,-2140.0,sweep low + long FVG
2026-06-08T10:00:00-04:00,short,29432.0,29499.5,29297.0,loss,2026-06-08T10:25:00-04:00,-1390.0,sweep high + short FVG
2026-06-09T09:55:00-04:00,short,29746.25,29746.25,29746.25,loss,2026-06-09T09:55:00-04:00,-10.0,sweep high + short FVG
2026-06-10T10:45:00-04:00,short,29125.0,29198.0,28979.0,win,2026-06-10T10:55:00-04:00,2910.0,sweep high + short FVG
2026-06-11T10:15:00-04:00,short,28882.0,29039.5,28567.0,loss,2026-06-11T13:25:00-04:00,-3190.0,sweep high + short FVG
2026-06-15T10:00:00-04:00,short,30761.75,30783.5,30718.25,win,2026-06-15T10:00:00-04:00,860.0,sweep high + short FVG
2026-06-17T10:00:00-04:00,short,30403.0,30542.25,30124.5,loss,2026-06-17T10:20:00-04:00,-2825.0,sweep high + short FVG
2026-06-18T10:40:00-04:00,long,30551.5,30463.5,30727.5,win,2026-06-18T13:15:00-04:00,3510.0,sweep low + long FVG
2026-06-22T10:20:00-04:00,short,30877.5,30968.0,30696.5,win,2026-06-22T10:30:00-04:00,3610.0,sweep high + short FVG
2026-06-23T09:50:00-04:00,long,29817.0,29671.0,30109.0,loss,2026-06-23T14:40:00-04:00,-2960.0,sweep low + long FVG
2026-06-24T10:30:00-04:00,long,29703.5,29525.0,30060.5,loss,2026-06-24T13:15:00-04:00,-3610.0,sweep low + long FVG
2026-06-25T09:40:00-04:00,short,30010.5,30090.5,29850.5,win,2026-06-25T09:40:00-04:00,3190.0,sweep high + short FVG
2026-06-26T10:00:00-04:00,long,29414.0,29228.25,29785.5,open,,,sweep low + long FVG
2026-06-29T10:00:00-04:00,short,29631.5,29776.0,29342.5,win,2026-06-29T10:10:00-04:00,5770.0,sweep high + short FVG
2026-07-01T09:50:00-04:00,long,30188.5,30097.5,30370.5,open,,,sweep low + long FVG
2026-07-09T10:10:00-04:00,short,29854.5,29922.75,29718.0,win,2026-07-09T10:15:00-04:00,2720.0,sweep high + short FVG
2026-07-10T10:20:00-04:00,short,29911.75,29968.5,29798.25,win,2026-07-10T10:30:00-04:00,2260.0,sweep high + short FVG
2026-07-14T10:05:00-04:00,short,29704.25,29798.0,29516.75,loss,2026-07-14T10:30:00-04:00,-1915.0,sweep high + short FVG
2026-07-15T09:40:00-04:00,short,29884.5,29966.5,29720.5,win,2026-07-15T10:20:00-04:00,3270.0,sweep high + short FVG
2026-07-16T10:05:00-04:00,long,29384.5,29315.25,29523.0,loss,2026-07-16T12:05:00-04:00,-1425.0,sweep low + long FVG
2026-07-17T09:55:00-04:00,long,28578.25,28412.0,28910.75,win,2026-07-17T11:55:00-04:00,6640.0,sweep low + long FVG
2026-07-20T09:55:00-04:00,short,29066.75,29131.25,28937.75,win,2026-07-20T10:20:00-04:00,2570.0,sweep high + short FVG
2026-07-22T09:55:00-04:00,long,29229.25,29113.0,29461.75,open,,,sweep low + long FVG
2026-07-23T09:40:00-04:00,long,28797.0,28736.75,28917.5,loss,2026-07-23T09:50:00-04:00,-1245.0,sweep low + long FVG
2026-07-24T10:10:00-04:00,long,28406.25,28333.75,28551.25,loss,2026-07-24T10:15:00-04:00,-1490.0,sweep low + long FVG
